{'loss': 1.3883, 'grad_norm': 11.805442810058594, 'learning_rate': 3e-06, 'epoch': 0.0, 'num_input_tokens_seen': 54528}
{'loss': 1.403, 'grad_norm': 11.622239112854004, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 125184, 'step': 2, 'step_time_sec': 8.97, 'avg_step_time_sec': 8.97, 'time_to_completion_sec': 161.37, 'estimated_total_time_sec': 179.3, 'step_peak_memory_allocated_MB': 56248.4, 'step_peak_memory_reserved_MB': 74236.0, 'total_peak_memory_allocated_MB': 56248.4, 'total_peak_memory_reserved_MB': 74236.0, 'step_tokens_per_second': 7881.2, 'avg_tokens_per_second': 7881.2}
{'loss': 1.3964, 'grad_norm': 8.47226333618164, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.01, 'num_input_tokens_seen': 185856, 'step': 3, 'step_time_sec': 6.5, 'avg_step_time_sec': 7.73, 'time_to_completion_sec': 131.47, 'estimated_total_time_sec': 154.67, 'step_peak_memory_allocated_MB': 52216.12, 'step_peak_memory_reserved_MB': 74738.0, 'total_peak_memory_allocated_MB': 56248.4, 'total_peak_memory_reserved_MB': 74738.0, 'step_tokens_per_second': 9331.88, 'avg_tokens_per_second': 8491.0}
{'loss': 1.2832, 'grad_norm': 9.746687889099121, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.02, 'num_input_tokens_seen': 254208, 'step': 4, 'step_time_sec': 9.62, 'avg_step_time_sec': 8.36, 'time_to_completion_sec': 133.8, 'estimated_total_time_sec': 167.25, 'step_peak_memory_allocated_MB': 68349.51, 'step_peak_memory_reserved_MB': 78662.0, 'total_peak_memory_allocated_MB': 68349.51, 'total_peak_memory_reserved_MB': 78662.0, 'step_tokens_per_second': 7104.96, 'avg_tokens_per_second': 7959.49}
{'loss': 1.2847, 'grad_norm': 4.774288654327393, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.02, 'num_input_tokens_seen': 308736, 'step': 5, 'step_time_sec': 5.55, 'avg_step_time_sec': 7.66, 'time_to_completion_sec': 114.89, 'estimated_total_time_sec': 153.19, 'step_peak_memory_allocated_MB': 56248.4, 'step_peak_memory_reserved_MB': 75870.0, 'total_peak_memory_allocated_MB': 68349.51, 'total_peak_memory_reserved_MB': 78662.0, 'step_tokens_per_second': 9823.21, 'avg_tokens_per_second': 8297.15}
{'loss': 1.3723, 'grad_norm': 5.747477054595947, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.02, 'num_input_tokens_seen': 359424, 'step': 6, 'step_time_sec': 6.64, 'avg_step_time_sec': 7.46, 'time_to_completion_sec': 104.39, 'estimated_total_time_sec': 149.12, 'step_peak_memory_allocated_MB': 44151.09, 'step_peak_memory_reserved_MB': 75870.0, 'total_peak_memory_allocated_MB': 68349.51, 'total_peak_memory_reserved_MB': 78662.0, 'step_tokens_per_second': 7630.72, 'avg_tokens_per_second': 8178.41}
{'loss': 1.2954, 'grad_norm': 4.253581523895264, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.03, 'num_input_tokens_seen': 413184, 'step': 7, 'step_time_sec': 4.75, 'avg_step_time_sec': 7.01, 'time_to_completion_sec': 91.07, 'estimated_total_time_sec': 140.11, 'step_peak_memory_allocated_MB': 46839.06, 'step_peak_memory_reserved_MB': 75870.0, 'total_peak_memory_allocated_MB': 68349.51, 'total_peak_memory_reserved_MB': 78662.0, 'step_tokens_per_second': 11314.82, 'avg_tokens_per_second': 8532.95}
{'loss': 1.2282, 'grad_norm': 3.626068115234375, 'learning_rate': 4.5e-06, 'epoch': 0.03, 'num_input_tokens_seen': 461568, 'step': 8, 'step_time_sec': 5.74, 'avg_step_time_sec': 6.82, 'time_to_completion_sec': 81.9, 'estimated_total_time_sec': 136.5, 'step_peak_memory_allocated_MB': 41463.32, 'step_peak_memory_reserved_MB': 75870.0, 'total_peak_memory_allocated_MB': 68349.51, 'total_peak_memory_reserved_MB': 78662.0, 'step_tokens_per_second': 8425.85, 'avg_tokens_per_second': 8520.08}
{'loss': 1.2229, 'grad_norm': 4.115623950958252, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.04, 'num_input_tokens_seen': 509952, 'step': 9, 'step_time_sec': 3.66, 'avg_step_time_sec': 6.43, 'time_to_completion_sec': 70.73, 'estimated_total_time_sec': 128.59, 'step_peak_memory_allocated_MB': 45495.05, 'step_peak_memory_reserved_MB': 75870.0, 'total_peak_memory_allocated_MB': 68349.51, 'total_peak_memory_reserved_MB': 78662.0, 'step_tokens_per_second': 13206.87, 'avg_tokens_per_second': 8853.88}
{'loss': 1.2422, 'grad_norm': 3.959798574447632, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.04, 'num_input_tokens_seen': 568320, 'step': 10, 'step_time_sec': 6.19, 'avg_step_time_sec': 6.4, 'time_to_completion_sec': 64.04, 'estimated_total_time_sec': 128.07, 'step_peak_memory_allocated_MB': 45495.05, 'step_peak_memory_reserved_MB': 75870.0, 'total_peak_memory_allocated_MB': 68349.51, 'total_peak_memory_reserved_MB': 78662.0, 'step_tokens_per_second': 9421.98, 'avg_tokens_per_second': 8914.95}
{'loss': 1.2622, 'grad_norm': 3.6134583950042725, 'learning_rate': 3e-06, 'epoch': 0.05, 'num_input_tokens_seen': 616704, 'step': 11, 'step_time_sec': 4.82, 'avg_step_time_sec': 6.25, 'time_to_completion_sec': 56.21, 'estimated_total_time_sec': 124.9, 'step_peak_memory_allocated_MB': 46839.06, 'step_peak_memory_reserved_MB': 75870.0, 'total_peak_memory_allocated_MB': 68349.51, 'total_peak_memory_reserved_MB': 78662.0, 'step_tokens_per_second': 10038.49, 'avg_tokens_per_second': 9001.66}
{'loss': 1.2243, 'grad_norm': 3.3471832275390625, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.05, 'num_input_tokens_seen': 669696, 'step': 12, 'step_time_sec': 5.3, 'avg_step_time_sec': 6.16, 'time_to_completion_sec': 49.28, 'estimated_total_time_sec': 123.19, 'step_peak_memory_allocated_MB': 40119.5, 'step_peak_memory_reserved_MB': 75870.0, 'total_peak_memory_allocated_MB': 68349.51, 'total_peak_memory_reserved_MB': 78662.0, 'step_tokens_per_second': 9992.91, 'avg_tokens_per_second': 9079.24}
