{'loss': 1.4012, 'grad_norm': 13.653097152709961, 'learning_rate': 3e-06, 'epoch': 0.0, 'num_input_tokens_seen': 47616}
{'loss': 1.3926, 'grad_norm': 11.953817367553711, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 125952, 'step': 2, 'step_time_sec': 6.81, 'avg_step_time_sec': 6.81, 'time_to_completion_sec': 122.55, 'estimated_total_time_sec': 136.17, 'step_peak_memory_allocated_MB': 38307.84, 'step_peak_memory_reserved_MB': 56776.0, 'total_peak_memory_allocated_MB': 38307.84, 'total_peak_memory_reserved_MB': 56776.0, 'step_tokens_per_second': 11505.58, 'avg_tokens_per_second': 11505.58}
{'loss': 1.4391, 'grad_norm': 8.134387969970703, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.01, 'num_input_tokens_seen': 178944, 'step': 3, 'step_time_sec': 4.57, 'avg_step_time_sec': 5.69, 'time_to_completion_sec': 96.71, 'estimated_total_time_sec': 113.77, 'step_peak_memory_allocated_MB': 38307.87, 'step_peak_memory_reserved_MB': 59378.0, 'total_peak_memory_allocated_MB': 38307.87, 'total_peak_memory_reserved_MB': 59378.0, 'step_tokens_per_second': 11598.46, 'avg_tokens_per_second': 11542.88}
{'loss': 1.3226, 'grad_norm': 7.858397006988525, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.02, 'num_input_tokens_seen': 241152, 'step': 4, 'step_time_sec': 6.09, 'avg_step_time_sec': 5.82, 'time_to_completion_sec': 93.18, 'estimated_total_time_sec': 116.48, 'step_peak_memory_allocated_MB': 39875.21, 'step_peak_memory_reserved_MB': 61730.0, 'total_peak_memory_allocated_MB': 39875.21, 'total_peak_memory_reserved_MB': 61730.0, 'step_tokens_per_second': 10207.14, 'avg_tokens_per_second': 11076.95}
{'loss': 1.25, 'grad_norm': 4.771732330322266, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.02, 'num_input_tokens_seen': 293376, 'step': 5, 'step_time_sec': 4.58, 'avg_step_time_sec': 5.51, 'time_to_completion_sec': 82.69, 'estimated_total_time_sec': 110.26, 'step_peak_memory_allocated_MB': 38307.82, 'step_peak_memory_reserved_MB': 61730.0, 'total_peak_memory_allocated_MB': 39875.21, 'total_peak_memory_reserved_MB': 61730.0, 'step_tokens_per_second': 11403.85, 'avg_tokens_per_second': 11144.84}
{'loss': 1.3064, 'grad_norm': 5.619996070861816, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.02, 'num_input_tokens_seen': 346368, 'step': 6, 'step_time_sec': 4.58, 'avg_step_time_sec': 5.33, 'time_to_completion_sec': 74.56, 'estimated_total_time_sec': 106.51, 'step_peak_memory_allocated_MB': 38307.73, 'step_peak_memory_reserved_MB': 61730.0, 'total_peak_memory_allocated_MB': 39875.21, 'total_peak_memory_reserved_MB': 61730.0, 'step_tokens_per_second': 11580.42, 'avg_tokens_per_second': 11219.69}
{'loss': 1.3313, 'grad_norm': 4.248163223266602, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.03, 'num_input_tokens_seen': 395520, 'step': 7, 'step_time_sec': 3.99, 'avg_step_time_sec': 5.1, 'time_to_completion_sec': 66.34, 'estimated_total_time_sec': 102.06, 'step_peak_memory_allocated_MB': 38307.85, 'step_peak_memory_reserved_MB': 61730.0, 'total_peak_memory_allocated_MB': 39875.21, 'total_peak_memory_reserved_MB': 61730.0, 'step_tokens_per_second': 12320.12, 'avg_tokens_per_second': 11363.09}
{'loss': 1.1924, 'grad_norm': 3.559274673461914, 'learning_rate': 4.5e-06, 'epoch': 0.03, 'num_input_tokens_seen': 464640, 'step': 8, 'step_time_sec': 6.7, 'avg_step_time_sec': 5.33, 'time_to_completion_sec': 63.97, 'estimated_total_time_sec': 106.62, 'step_peak_memory_allocated_MB': 38307.78, 'step_peak_memory_reserved_MB': 61730.0, 'total_peak_memory_allocated_MB': 39875.21, 'total_peak_memory_reserved_MB': 61730.0, 'step_tokens_per_second': 10315.26, 'avg_tokens_per_second': 11174.94}
{'loss': 1.2315, 'grad_norm': 3.652539014816284, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.04, 'num_input_tokens_seen': 526080, 'step': 9, 'step_time_sec': 6.68, 'avg_step_time_sec': 5.5, 'time_to_completion_sec': 60.5, 'estimated_total_time_sec': 110.0, 'step_peak_memory_allocated_MB': 38307.85, 'step_peak_memory_reserved_MB': 61730.0, 'total_peak_memory_allocated_MB': 39875.21, 'total_peak_memory_reserved_MB': 61730.0, 'step_tokens_per_second': 9197.16, 'avg_tokens_per_second': 10874.65}
{'loss': 1.2283, 'grad_norm': 3.179703950881958, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.04, 'num_input_tokens_seen': 580608, 'step': 10, 'step_time_sec': 4.99, 'avg_step_time_sec': 5.44, 'time_to_completion_sec': 54.43, 'estimated_total_time_sec': 108.86, 'step_peak_memory_allocated_MB': 38307.84, 'step_peak_memory_reserved_MB': 61730.0, 'total_peak_memory_allocated_MB': 39875.21, 'total_peak_memory_reserved_MB': 61730.0, 'step_tokens_per_second': 10928.59, 'avg_tokens_per_second': 10880.14}
{'loss': 1.1998, 'grad_norm': 3.2597928047180176, 'learning_rate': 3e-06, 'epoch': 0.05, 'num_input_tokens_seen': 638208, 'step': 11, 'step_time_sec': 4.99, 'avg_step_time_sec': 5.4, 'time_to_completion_sec': 48.58, 'estimated_total_time_sec': 107.96, 'step_peak_memory_allocated_MB': 38355.33, 'step_peak_memory_reserved_MB': 61730.0, 'total_peak_memory_allocated_MB': 39875.21, 'total_peak_memory_reserved_MB': 61730.0, 'step_tokens_per_second': 11533.95, 'avg_tokens_per_second': 10940.63}
{'loss': 1.1925, 'grad_norm': 3.4332480430603027, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.05, 'num_input_tokens_seen': 695808, 'step': 12, 'step_time_sec': 5.47, 'avg_step_time_sec': 5.41, 'time_to_completion_sec': 43.24, 'estimated_total_time_sec': 108.1, 'step_peak_memory_allocated_MB': 38307.82, 'step_peak_memory_reserved_MB': 61730.0, 'total_peak_memory_allocated_MB': 39875.21, 'total_peak_memory_reserved_MB': 61730.0, 'step_tokens_per_second': 10520.62, 'avg_tokens_per_second': 10901.95}
