{'loss': 11.9583, 'grad_norm': 695.6334838867188, 'learning_rate': 3e-06, 'epoch': 0.0, 'num_input_tokens_seen': 50688}
{'loss': 11.9175, 'grad_norm': 682.4520874023438, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 128256, 'step': 2, 'step_time_sec': 6.11, 'avg_step_time_sec': 6.11, 'time_to_completion_sec': 109.94, 'estimated_total_time_sec': 122.16, 'step_peak_memory_allocated_MB': 38307.87, 'step_peak_memory_reserved_MB': 56242.0, 'total_peak_memory_allocated_MB': 38307.87, 'total_peak_memory_reserved_MB': 56242.0, 'step_tokens_per_second': 12699.57, 'avg_tokens_per_second': 12699.57}
{'loss': 9.8374, 'grad_norm': 272.6592102050781, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.01, 'num_input_tokens_seen': 175872, 'step': 3, 'step_time_sec': 3.73, 'avg_step_time_sec': 4.92, 'time_to_completion_sec': 83.64, 'estimated_total_time_sec': 98.4, 'step_peak_memory_allocated_MB': 38307.82, 'step_peak_memory_reserved_MB': 56242.0, 'total_peak_memory_allocated_MB': 38307.87, 'total_peak_memory_reserved_MB': 56242.0, 'step_tokens_per_second': 12757.13, 'avg_tokens_per_second': 12721.4}
{'loss': 8.667, 'grad_norm': 129.9753875732422, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.02, 'num_input_tokens_seen': 235008, 'step': 4, 'step_time_sec': 5.42, 'avg_step_time_sec': 5.09, 'time_to_completion_sec': 81.4, 'estimated_total_time_sec': 101.75, 'step_peak_memory_allocated_MB': 38307.89, 'step_peak_memory_reserved_MB': 57082.0, 'total_peak_memory_allocated_MB': 38307.89, 'total_peak_memory_reserved_MB': 57082.0, 'step_tokens_per_second': 10905.89, 'avg_tokens_per_second': 12076.41}
{'loss': 8.7041, 'grad_norm': 110.52106475830078, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.02, 'num_input_tokens_seen': 291840, 'step': 5, 'step_time_sec': 5.49, 'avg_step_time_sec': 5.19, 'time_to_completion_sec': 77.84, 'estimated_total_time_sec': 103.78, 'step_peak_memory_allocated_MB': 38308.03, 'step_peak_memory_reserved_MB': 60022.0, 'total_peak_memory_allocated_MB': 38308.03, 'total_peak_memory_reserved_MB': 60022.0, 'step_tokens_per_second': 10345.46, 'avg_tokens_per_second': 11618.29}
{'loss': 8.083, 'grad_norm': 20.35115623474121, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.02, 'num_input_tokens_seen': 350208, 'step': 6, 'step_time_sec': 4.12, 'avg_step_time_sec': 4.98, 'time_to_completion_sec': 69.66, 'estimated_total_time_sec': 99.51, 'step_peak_memory_allocated_MB': 38307.77, 'step_peak_memory_reserved_MB': 60022.0, 'total_peak_memory_allocated_MB': 38308.03, 'total_peak_memory_reserved_MB': 60022.0, 'step_tokens_per_second': 14164.48, 'avg_tokens_per_second': 12040.05}
{'loss': 8.312, 'grad_norm': 71.16879272460938, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.03, 'num_input_tokens_seen': 409344, 'step': 7, 'step_time_sec': 4.14, 'avg_step_time_sec': 4.84, 'time_to_completion_sec': 62.87, 'estimated_total_time_sec': 96.72, 'step_peak_memory_allocated_MB': 38307.84, 'step_peak_memory_reserved_MB': 60022.0, 'total_peak_memory_allocated_MB': 38308.03, 'total_peak_memory_reserved_MB': 60022.0, 'step_tokens_per_second': 14287.55, 'avg_tokens_per_second': 12360.65}
{'loss': 8.1241, 'grad_norm': 44.23505783081055, 'learning_rate': 4.5e-06, 'epoch': 0.03, 'num_input_tokens_seen': 460800, 'step': 8, 'step_time_sec': 3.94, 'avg_step_time_sec': 4.71, 'time_to_completion_sec': 56.49, 'estimated_total_time_sec': 94.15, 'step_peak_memory_allocated_MB': 38307.8, 'step_peak_memory_reserved_MB': 60022.0, 'total_peak_memory_allocated_MB': 38308.03, 'total_peak_memory_reserved_MB': 60022.0, 'step_tokens_per_second': 13071.82, 'avg_tokens_per_second': 12445.6}
{'loss': 7.8242, 'grad_norm': 14.658903121948242, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.04, 'num_input_tokens_seen': 515328, 'step': 9, 'step_time_sec': 3.78, 'avg_step_time_sec': 4.59, 'time_to_completion_sec': 50.51, 'estimated_total_time_sec': 91.83, 'step_peak_memory_allocated_MB': 38307.82, 'step_peak_memory_reserved_MB': 60022.0, 'total_peak_memory_allocated_MB': 38308.03, 'total_peak_memory_reserved_MB': 60022.0, 'step_tokens_per_second': 14428.35, 'avg_tokens_per_second': 12649.6}
{'loss': 8.0857, 'grad_norm': 29.656005859375, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.04, 'num_input_tokens_seen': 573696, 'step': 10, 'step_time_sec': 5.46, 'avg_step_time_sec': 4.69, 'time_to_completion_sec': 46.88, 'estimated_total_time_sec': 93.76, 'step_peak_memory_allocated_MB': 38307.87, 'step_peak_memory_reserved_MB': 60022.0, 'total_peak_memory_allocated_MB': 38308.03, 'total_peak_memory_reserved_MB': 60022.0, 'step_tokens_per_second': 10691.71, 'avg_tokens_per_second': 12396.27}
{'loss': 7.8864, 'grad_norm': 10.081645965576172, 'learning_rate': 3e-06, 'epoch': 0.05, 'num_input_tokens_seen': 622080, 'step': 11, 'step_time_sec': 3.62, 'avg_step_time_sec': 4.58, 'time_to_completion_sec': 41.23, 'estimated_total_time_sec': 91.62, 'step_peak_memory_allocated_MB': 38307.85, 'step_peak_memory_reserved_MB': 60022.0, 'total_peak_memory_allocated_MB': 38308.03, 'total_peak_memory_reserved_MB': 60022.0, 'step_tokens_per_second': 13376.9, 'avg_tokens_per_second': 12473.7}
{'loss': 8.0753, 'grad_norm': 22.213361740112305, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.05, 'num_input_tokens_seen': 703488, 'step': 12, 'step_time_sec': 6.16, 'avg_step_time_sec': 4.72, 'time_to_completion_sec': 37.8, 'estimated_total_time_sec': 94.49, 'step_peak_memory_allocated_MB': 38307.85, 'step_peak_memory_reserved_MB': 60022.0, 'total_peak_memory_allocated_MB': 38308.03, 'total_peak_memory_reserved_MB': 60022.0, 'step_tokens_per_second': 13208.49, 'avg_tokens_per_second': 12560.84}
