{'loss': 12.1319, 'grad_norm': 30.41763687133789, 'learning_rate': 3e-06, 'epoch': 0.0, 'num_input_tokens_seen': 58368}
{'loss': 12.1379, 'grad_norm': 30.363327026367188, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 115200, 'step': 2, 'step_time_sec': 4.96, 'avg_step_time_sec': 4.96, 'time_to_completion_sec': 89.25, 'estimated_total_time_sec': 99.17, 'step_peak_memory_allocated_MB': 38307.8, 'step_peak_memory_reserved_MB': 55424.0, 'total_peak_memory_allocated_MB': 38307.8, 'total_peak_memory_reserved_MB': 55424.0, 'step_tokens_per_second': 11461.6, 'avg_tokens_per_second': 11461.6}
{'loss': 11.7895, 'grad_norm': 29.38856315612793, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.01, 'num_input_tokens_seen': 172032, 'step': 3, 'step_time_sec': 5.15, 'avg_step_time_sec': 5.05, 'time_to_completion_sec': 85.93, 'estimated_total_time_sec': 101.09, 'step_peak_memory_allocated_MB': 38307.82, 'step_peak_memory_reserved_MB': 55424.0, 'total_peak_memory_allocated_MB': 38307.82, 'total_peak_memory_reserved_MB': 55424.0, 'step_tokens_per_second': 11033.32, 'avg_tokens_per_second': 11243.38}
{'loss': 10.9771, 'grad_norm': 98.94534301757812, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.02, 'num_input_tokens_seen': 215040, 'step': 4, 'step_time_sec': 2.99, 'avg_step_time_sec': 4.37, 'time_to_completion_sec': 69.86, 'estimated_total_time_sec': 87.33, 'step_peak_memory_allocated_MB': 38307.77, 'step_peak_memory_reserved_MB': 55424.0, 'total_peak_memory_allocated_MB': 38307.82, 'total_peak_memory_reserved_MB': 55424.0, 'step_tokens_per_second': 14384.01, 'avg_tokens_per_second': 11960.24}
{'loss': 10.3844, 'grad_norm': 84.1649169921875, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.02, 'num_input_tokens_seen': 271104, 'step': 5, 'step_time_sec': 5.52, 'avg_step_time_sec': 4.65, 'time_to_completion_sec': 69.82, 'estimated_total_time_sec': 93.09, 'step_peak_memory_allocated_MB': 38307.82, 'step_peak_memory_reserved_MB': 55424.0, 'total_peak_memory_allocated_MB': 38307.82, 'total_peak_memory_reserved_MB': 55424.0, 'step_tokens_per_second': 10159.32, 'avg_tokens_per_second': 11426.44}
{'loss': 9.6681, 'grad_norm': 54.91738510131836, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.02, 'num_input_tokens_seen': 327936, 'step': 6, 'step_time_sec': 5.19, 'avg_step_time_sec': 4.76, 'time_to_completion_sec': 66.66, 'estimated_total_time_sec': 95.22, 'step_peak_memory_allocated_MB': 38307.82, 'step_peak_memory_reserved_MB': 55424.0, 'total_peak_memory_allocated_MB': 38307.82, 'total_peak_memory_reserved_MB': 55424.0, 'step_tokens_per_second': 10954.08, 'avg_tokens_per_second': 11323.49}
{'loss': 9.133, 'grad_norm': 71.88754272460938, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.03, 'num_input_tokens_seen': 380160, 'step': 7, 'step_time_sec': 4.0, 'avg_step_time_sec': 4.63, 'time_to_completion_sec': 60.25, 'estimated_total_time_sec': 92.69, 'step_peak_memory_allocated_MB': 38307.8, 'step_peak_memory_reserved_MB': 55424.0, 'total_peak_memory_allocated_MB': 38307.82, 'total_peak_memory_reserved_MB': 55424.0, 'step_tokens_per_second': 13055.88, 'avg_tokens_per_second': 11572.7}
{'loss': 8.6873, 'grad_norm': 30.131269454956055, 'learning_rate': 4.5e-06, 'epoch': 0.03, 'num_input_tokens_seen': 433152, 'step': 8, 'step_time_sec': 3.98, 'avg_step_time_sec': 4.54, 'time_to_completion_sec': 54.49, 'estimated_total_time_sec': 90.82, 'step_peak_memory_allocated_MB': 38307.85, 'step_peak_memory_reserved_MB': 56936.0, 'total_peak_memory_allocated_MB': 38307.85, 'total_peak_memory_reserved_MB': 56936.0, 'step_tokens_per_second': 13306.6, 'avg_tokens_per_second': 11789.92}
{'loss': 8.6766, 'grad_norm': 31.85265350341797, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.04, 'num_input_tokens_seen': 489984, 'step': 9, 'step_time_sec': 3.98, 'avg_step_time_sec': 4.47, 'time_to_completion_sec': 49.18, 'estimated_total_time_sec': 89.42, 'step_peak_memory_allocated_MB': 38307.82, 'step_peak_memory_reserved_MB': 56936.0, 'total_peak_memory_allocated_MB': 38307.85, 'total_peak_memory_reserved_MB': 56936.0, 'step_tokens_per_second': 14284.29, 'avg_tokens_per_second': 12067.39}
{'loss': 8.7229, 'grad_norm': 41.68267059326172, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.04, 'num_input_tokens_seen': 542208, 'step': 10, 'step_time_sec': 4.32, 'avg_step_time_sec': 4.45, 'time_to_completion_sec': 44.54, 'estimated_total_time_sec': 89.08, 'step_peak_memory_allocated_MB': 38307.82, 'step_peak_memory_reserved_MB': 56936.0, 'total_peak_memory_allocated_MB': 38307.85, 'total_peak_memory_reserved_MB': 56936.0, 'step_tokens_per_second': 12091.95, 'avg_tokens_per_second': 12070.03}
{'loss': 8.5704, 'grad_norm': 30.757184982299805, 'learning_rate': 3e-06, 'epoch': 0.05, 'num_input_tokens_seen': 595200, 'step': 11, 'step_time_sec': 3.64, 'avg_step_time_sec': 4.37, 'time_to_completion_sec': 39.35, 'estimated_total_time_sec': 87.45, 'step_peak_memory_allocated_MB': 38307.85, 'step_peak_memory_reserved_MB': 56936.0, 'total_peak_memory_allocated_MB': 38307.85, 'total_peak_memory_reserved_MB': 56936.0, 'step_tokens_per_second': 14560.18, 'avg_tokens_per_second': 12277.3}
{'loss': 8.3563, 'grad_norm': 21.52202606201172, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.05, 'num_input_tokens_seen': 657408, 'step': 12, 'step_time_sec': 5.68, 'avg_step_time_sec': 4.49, 'time_to_completion_sec': 35.93, 'estimated_total_time_sec': 89.84, 'step_peak_memory_allocated_MB': 38307.8, 'step_peak_memory_reserved_MB': 56936.0, 'total_peak_memory_allocated_MB': 38307.85, 'total_peak_memory_reserved_MB': 56936.0, 'step_tokens_per_second': 10942.78, 'avg_tokens_per_second': 12123.76}
{'loss': 8.2626, 'grad_norm': 20.85236358642578, 'learning_rate': 1.973939570022994e-06, 'epoch': 0.05, 'num_input_tokens_seen': 710400, 'step': 13, 'step_time_sec': 3.95, 'avg_step_time_sec': 4.45, 'time_to_completion_sec': 31.13, 'estimated_total_time_sec': 88.93, 'step_peak_memory_allocated_MB': 38307.78, 'step_peak_memory_reserved_MB': 56936.0, 'total_peak_memory_allocated_MB': 38307.85, 'total_peak_memory_reserved_MB': 56936.0, 'step_tokens_per_second': 13419.45, 'avg_tokens_per_second': 12219.65}
{'loss': 8.3444, 'grad_norm': 23.06651496887207, 'learning_rate': 1.5000000000000007e-06, 'epoch': 0.06, 'num_input_tokens_seen': 773376, 'step': 14, 'step_time_sec': 5.74, 'avg_step_time_sec': 4.55, 'time_to_completion_sec': 27.28, 'estimated_total_time_sec': 90.92, 'step_peak_memory_allocated_MB': 38308.05, 'step_peak_memory_reserved_MB': 60988.0, 'total_peak_memory_allocated_MB': 38308.05, 'total_peak_memory_reserved_MB': 60988.0, 'step_tokens_per_second': 10969.13, 'avg_tokens_per_second': 12098.17}
{'loss': 8.2699, 'grad_norm': 22.453514099121094, 'learning_rate': 1.0716371709403819e-06, 'epoch': 0.06, 'num_input_tokens_seen': 824832, 'step': 15, 'step_time_sec': 3.84, 'avg_step_time_sec': 4.5, 'time_to_completion_sec': 22.48, 'estimated_total_time_sec': 89.91, 'step_peak_memory_allocated_MB': 38307.87, 'step_peak_memory_reserved_MB': 60988.0, 'total_peak_memory_allocated_MB': 38308.05, 'total_peak_memory_reserved_MB': 60988.0, 'step_tokens_per_second': 13413.68, 'avg_tokens_per_second': 12178.35}
{'loss': 8.0996, 'grad_norm': 19.796585083007812, 'learning_rate': 7.018666706430663e-07, 'epoch': 0.07, 'num_input_tokens_seen': 890112, 'step': 16, 'step_time_sec': 5.57, 'avg_step_time_sec': 4.57, 'time_to_completion_sec': 18.27, 'estimated_total_time_sec': 91.35, 'step_peak_memory_allocated_MB': 38308.03, 'step_peak_memory_reserved_MB': 61576.0, 'total_peak_memory_allocated_MB': 38308.05, 'total_peak_memory_reserved_MB': 61576.0, 'step_tokens_per_second': 11714.83, 'avg_tokens_per_second': 12140.65}
