{'loss': 1.437, 'grad_norm': 12.608051300048828, 'learning_rate': 3e-06, 'epoch': 0.0, 'num_input_tokens_seen': 47616}
{'loss': 1.3617, 'grad_norm': 12.432792663574219, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 106752, 'step': 2, 'step_time_sec': 4.88, 'avg_step_time_sec': 4.88, 'time_to_completion_sec': 87.76, 'estimated_total_time_sec': 97.51, 'step_peak_memory_allocated_MB': 38307.87, 'step_peak_memory_reserved_MB': 56058.0, 'total_peak_memory_allocated_MB': 38307.87, 'total_peak_memory_reserved_MB': 56058.0, 'step_tokens_per_second': 12129.18, 'avg_tokens_per_second': 12129.18}
{'loss': 1.2914, 'grad_norm': 8.558877944946289, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.01, 'num_input_tokens_seen': 174336, 'step': 3, 'step_time_sec': 5.8, 'avg_step_time_sec': 5.34, 'time_to_completion_sec': 90.77, 'estimated_total_time_sec': 106.79, 'step_peak_memory_allocated_MB': 38307.75, 'step_peak_memory_reserved_MB': 56058.0, 'total_peak_memory_allocated_MB': 38307.87, 'total_peak_memory_reserved_MB': 56058.0, 'step_tokens_per_second': 11646.39, 'avg_tokens_per_second': 11866.82}
{'loss': 1.346, 'grad_norm': 8.958698272705078, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.02, 'num_input_tokens_seen': 228864, 'step': 4, 'step_time_sec': 4.25, 'avg_step_time_sec': 4.98, 'time_to_completion_sec': 79.62, 'estimated_total_time_sec': 99.52, 'step_peak_memory_allocated_MB': 38307.82, 'step_peak_memory_reserved_MB': 56058.0, 'total_peak_memory_allocated_MB': 38307.87, 'total_peak_memory_reserved_MB': 56058.0, 'step_tokens_per_second': 12830.81, 'avg_tokens_per_second': 12141.25}
{'loss': 1.2392, 'grad_norm': 4.964839458465576, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.02, 'num_input_tokens_seen': 274176, 'step': 5, 'step_time_sec': 3.9, 'avg_step_time_sec': 4.71, 'time_to_completion_sec': 70.6, 'estimated_total_time_sec': 94.13, 'step_peak_memory_allocated_MB': 38307.75, 'step_peak_memory_reserved_MB': 56058.0, 'total_peak_memory_allocated_MB': 38307.87, 'total_peak_memory_reserved_MB': 56058.0, 'step_tokens_per_second': 11626.73, 'avg_tokens_per_second': 12034.73}
{'loss': 1.2877, 'grad_norm': 5.531447887420654, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.02, 'num_input_tokens_seen': 333312, 'step': 6, 'step_time_sec': 5.47, 'avg_step_time_sec': 4.86, 'time_to_completion_sec': 68.02, 'estimated_total_time_sec': 97.17, 'step_peak_memory_allocated_MB': 38308.03, 'step_peak_memory_reserved_MB': 60588.0, 'total_peak_memory_allocated_MB': 38308.03, 'total_peak_memory_reserved_MB': 60588.0, 'step_tokens_per_second': 10817.49, 'avg_tokens_per_second': 11760.81}
{'loss': 1.2059, 'grad_norm': 4.537593841552734, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.03, 'num_input_tokens_seen': 387840, 'step': 7, 'step_time_sec': 4.44, 'avg_step_time_sec': 4.79, 'time_to_completion_sec': 62.26, 'estimated_total_time_sec': 95.79, 'step_peak_memory_allocated_MB': 38307.82, 'step_peak_memory_reserved_MB': 60588.0, 'total_peak_memory_allocated_MB': 38308.03, 'total_peak_memory_reserved_MB': 60588.0, 'step_tokens_per_second': 12271.99, 'avg_tokens_per_second': 11839.85}
{'loss': 1.2121, 'grad_norm': 3.5951485633850098, 'learning_rate': 4.5e-06, 'epoch': 0.03, 'num_input_tokens_seen': 437760, 'step': 8, 'step_time_sec': 3.94, 'avg_step_time_sec': 4.67, 'time_to_completion_sec': 56.01, 'estimated_total_time_sec': 93.36, 'step_peak_memory_allocated_MB': 38307.84, 'step_peak_memory_reserved_MB': 60588.0, 'total_peak_memory_allocated_MB': 38308.03, 'total_peak_memory_reserved_MB': 60588.0, 'step_tokens_per_second': 12672.4, 'avg_tokens_per_second': 11940.22}
{'loss': 1.2958, 'grad_norm': 4.059121608734131, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.04, 'num_input_tokens_seen': 499968, 'step': 9, 'step_time_sec': 5.0, 'avg_step_time_sec': 4.71, 'time_to_completion_sec': 51.8, 'estimated_total_time_sec': 94.18, 'step_peak_memory_allocated_MB': 38307.98, 'step_peak_memory_reserved_MB': 60588.0, 'total_peak_memory_allocated_MB': 38308.03, 'total_peak_memory_reserved_MB': 60588.0, 'step_tokens_per_second': 12447.05, 'avg_tokens_per_second': 12007.46}
{'loss': 1.221, 'grad_norm': 3.738762855529785, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.04, 'num_input_tokens_seen': 573696, 'step': 10, 'step_time_sec': 6.15, 'avg_step_time_sec': 4.87, 'time_to_completion_sec': 48.7, 'estimated_total_time_sec': 97.39, 'step_peak_memory_allocated_MB': 38307.92, 'step_peak_memory_reserved_MB': 60588.0, 'total_peak_memory_allocated_MB': 38308.03, 'total_peak_memory_reserved_MB': 60588.0, 'step_tokens_per_second': 11981.58, 'avg_tokens_per_second': 12003.82}
{'loss': 1.3624, 'grad_norm': 3.72426438331604, 'learning_rate': 3e-06, 'epoch': 0.05, 'num_input_tokens_seen': 628224, 'step': 11, 'step_time_sec': 4.58, 'avg_step_time_sec': 4.84, 'time_to_completion_sec': 43.56, 'estimated_total_time_sec': 96.81, 'step_peak_memory_allocated_MB': 38307.8, 'step_peak_memory_reserved_MB': 60588.0, 'total_peak_memory_allocated_MB': 38308.03, 'total_peak_memory_reserved_MB': 60588.0, 'step_tokens_per_second': 11907.82, 'avg_tokens_per_second': 11994.74}
{'loss': 1.2536, 'grad_norm': 3.163553476333618, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.05, 'num_input_tokens_seen': 692736, 'step': 12, 'step_time_sec': 5.51, 'avg_step_time_sec': 4.9, 'time_to_completion_sec': 39.21, 'estimated_total_time_sec': 98.02, 'step_peak_memory_allocated_MB': 38308.03, 'step_peak_memory_reserved_MB': 60588.0, 'total_peak_memory_allocated_MB': 38308.03, 'total_peak_memory_reserved_MB': 60588.0, 'step_tokens_per_second': 11715.96, 'avg_tokens_per_second': 11966.27}
{'loss': 1.2077, 'grad_norm': 3.216358184814453, 'learning_rate': 1.973939570022994e-06, 'epoch': 0.05, 'num_input_tokens_seen': 747264, 'step': 13, 'step_time_sec': 3.81, 'avg_step_time_sec': 4.81, 'time_to_completion_sec': 33.67, 'estimated_total_time_sec': 96.21, 'step_peak_memory_allocated_MB': 38307.87, 'step_peak_memory_reserved_MB': 60588.0, 'total_peak_memory_allocated_MB': 38308.03, 'total_peak_memory_reserved_MB': 60588.0, 'step_tokens_per_second': 14296.82, 'avg_tokens_per_second': 12120.25}
{'loss': 1.2222, 'grad_norm': 3.392892599105835, 'learning_rate': 1.5000000000000007e-06, 'epoch': 0.06, 'num_input_tokens_seen': 818688, 'step': 14, 'step_time_sec': 5.46, 'avg_step_time_sec': 4.86, 'time_to_completion_sec': 29.16, 'estimated_total_time_sec': 97.21, 'step_peak_memory_allocated_MB': 38307.99, 'step_peak_memory_reserved_MB': 60588.0, 'total_peak_memory_allocated_MB': 38308.03, 'total_peak_memory_reserved_MB': 60588.0, 'step_tokens_per_second': 13071.68, 'avg_tokens_per_second': 12202.52}
