********** No Patching ***********
********** No Patching ***********
********** No Patching ***********
********** No Patching ***********
{'loss': 1.6627, 'grad_norm': 17.04920768737793, 'learning_rate': 3e-06, 'epoch': 0.0, 'num_input_tokens_seen': 38912}
{'loss': 1.7211, 'grad_norm': 18.822063446044922, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 77824, 'step': 2, 'step_time_sec': 2.79, 'avg_step_time_sec': 2.79, 'time_to_completion_sec': 50.14, 'estimated_total_time_sec': 55.71, 'step_peak_memory_allocated_MB': 43259.24, 'step_peak_memory_reserved_MB': 64222.0, 'total_peak_memory_allocated_MB': 43259.24, 'total_peak_memory_reserved_MB': 64222.0, 'step_tokens_per_second': 13968.99, 'avg_tokens_per_second': 13968.99}
{'loss': 1.7376, 'grad_norm': 15.303074836730957, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.01, 'num_input_tokens_seen': 119808, 'step': 3, 'step_time_sec': 5.16, 'avg_step_time_sec': 3.97, 'time_to_completion_sec': 67.52, 'estimated_total_time_sec': 79.43, 'step_peak_memory_allocated_MB': 43259.24, 'step_peak_memory_reserved_MB': 64260.0, 'total_peak_memory_allocated_MB': 43259.24, 'total_peak_memory_reserved_MB': 64260.0, 'step_tokens_per_second': 8140.46, 'avg_tokens_per_second': 10184.51}
{'loss': 1.4056, 'grad_norm': 8.393600463867188, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.01, 'num_input_tokens_seen': 153600, 'step': 4, 'step_time_sec': 2.01, 'avg_step_time_sec': 3.32, 'time_to_completion_sec': 53.08, 'estimated_total_time_sec': 66.35, 'step_peak_memory_allocated_MB': 30517.86, 'step_peak_memory_reserved_MB': 64260.0, 'total_peak_memory_allocated_MB': 43259.24, 'total_peak_memory_reserved_MB': 64260.0, 'step_tokens_per_second': 16810.9, 'avg_tokens_per_second': 11522.76}
{'loss': 1.3911, 'grad_norm': 6.4731926918029785, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.01, 'num_input_tokens_seen': 185856, 'step': 5, 'step_time_sec': 1.41, 'avg_step_time_sec': 2.84, 'time_to_completion_sec': 42.61, 'estimated_total_time_sec': 56.81, 'step_peak_memory_allocated_MB': 32337.62, 'step_peak_memory_reserved_MB': 64260.0, 'total_peak_memory_allocated_MB': 43259.24, 'total_peak_memory_reserved_MB': 64260.0, 'step_tokens_per_second': 22903.07, 'avg_tokens_per_second': 12933.46}
{'loss': 1.4264, 'grad_norm': 7.720712184906006, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.02, 'num_input_tokens_seen': 231424, 'step': 6, 'step_time_sec': 4.21, 'avg_step_time_sec': 3.11, 'time_to_completion_sec': 43.61, 'estimated_total_time_sec': 62.29, 'step_peak_memory_allocated_MB': 45079.26, 'step_peak_memory_reserved_MB': 74260.0, 'total_peak_memory_allocated_MB': 45079.26, 'total_peak_memory_reserved_MB': 74260.0, 'step_tokens_per_second': 10818.38, 'avg_tokens_per_second': 12361.41}
{'loss': 1.3328, 'grad_norm': 4.879855155944824, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.02, 'num_input_tokens_seen': 274944, 'step': 7, 'step_time_sec': 3.66, 'avg_step_time_sec': 3.21, 'time_to_completion_sec': 41.67, 'estimated_total_time_sec': 64.11, 'step_peak_memory_allocated_MB': 50540.56, 'step_peak_memory_reserved_MB': 75392.0, 'total_peak_memory_allocated_MB': 50540.56, 'total_peak_memory_reserved_MB': 75392.0, 'step_tokens_per_second': 11896.0, 'avg_tokens_per_second': 12272.88}
{'loss': 1.1386, 'grad_norm': 4.159752368927002, 'learning_rate': 4.5e-06, 'epoch': 0.02, 'num_input_tokens_seen': 318464, 'step': 8, 'step_time_sec': 3.14, 'avg_step_time_sec': 3.2, 'time_to_completion_sec': 38.36, 'estimated_total_time_sec': 63.93, 'step_peak_memory_allocated_MB': 56002.15, 'step_peak_memory_reserved_MB': 74892.0, 'total_peak_memory_allocated_MB': 56002.15, 'total_peak_memory_reserved_MB': 75392.0, 'step_tokens_per_second': 13846.27, 'avg_tokens_per_second': 12493.9}
{'loss': 1.3647, 'grad_norm': 5.427225112915039, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.02, 'num_input_tokens_seen': 347136, 'step': 9, 'step_time_sec': 1.78, 'avg_step_time_sec': 3.02, 'time_to_completion_sec': 33.22, 'estimated_total_time_sec': 60.4, 'step_peak_memory_allocated_MB': 28697.13, 'step_peak_memory_reserved_MB': 67330.0, 'total_peak_memory_allocated_MB': 56002.15, 'total_peak_memory_reserved_MB': 75392.0, 'step_tokens_per_second': 16075.07, 'avg_tokens_per_second': 12758.29}
{'loss': 1.2783, 'grad_norm': 4.659820556640625, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.03, 'num_input_tokens_seen': 379904, 'step': 10, 'step_time_sec': 1.63, 'avg_step_time_sec': 2.87, 'time_to_completion_sec': 28.65, 'estimated_total_time_sec': 57.31, 'step_peak_memory_allocated_MB': 34157.67, 'step_peak_memory_reserved_MB': 67330.0, 'total_peak_memory_allocated_MB': 56002.15, 'total_peak_memory_reserved_MB': 75392.0, 'step_tokens_per_second': 20108.33, 'avg_tokens_per_second': 13222.75}
{'loss': 1.2553, 'grad_norm': 4.290428161621094, 'learning_rate': 3e-06, 'epoch': 0.03, 'num_input_tokens_seen': 427520, 'step': 11, 'step_time_sec': 5.69, 'avg_step_time_sec': 3.15, 'time_to_completion_sec': 28.33, 'estimated_total_time_sec': 62.96, 'step_peak_memory_allocated_MB': 39618.23, 'step_peak_memory_reserved_MB': 67330.0, 'total_peak_memory_allocated_MB': 56002.15, 'total_peak_memory_reserved_MB': 75392.0, 'step_tokens_per_second': 8364.86, 'avg_tokens_per_second': 12344.34}
{'loss': 1.2881, 'grad_norm': 4.00712776184082, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.03, 'num_input_tokens_seen': 466944, 'step': 12, 'step_time_sec': 4.83, 'avg_step_time_sec': 3.3, 'time_to_completion_sec': 26.41, 'estimated_total_time_sec': 66.02, 'step_peak_memory_allocated_MB': 66926.17, 'step_peak_memory_reserved_MB': 74922.0, 'total_peak_memory_allocated_MB': 66926.17, 'total_peak_memory_reserved_MB': 75392.0, 'step_tokens_per_second': 8165.61, 'avg_tokens_per_second': 11788.68}
{'loss': 1.2922, 'grad_norm': 3.9114277362823486, 'learning_rate': 1.973939570022994e-06, 'epoch': 0.04, 'num_input_tokens_seen': 500224, 'step': 13, 'step_time_sec': 1.51, 'avg_step_time_sec': 3.15, 'time_to_completion_sec': 22.06, 'estimated_total_time_sec': 63.03, 'step_peak_memory_allocated_MB': 43259.24, 'step_peak_memory_reserved_MB': 75204.0, 'total_peak_memory_allocated_MB': 66926.17, 'total_peak_memory_reserved_MB': 75392.0, 'step_tokens_per_second': 22078.49, 'avg_tokens_per_second': 12198.83}
{'loss': 1.3001, 'grad_norm': 4.12939453125, 'learning_rate': 1.5000000000000007e-06, 'epoch': 0.04, 'num_input_tokens_seen': 537088, 'step': 14, 'step_time_sec': 2.49, 'avg_step_time_sec': 3.1, 'time_to_completion_sec': 18.6, 'estimated_total_time_sec': 62.0, 'step_peak_memory_allocated_MB': 56002.15, 'step_peak_memory_reserved_MB': 77922.0, 'total_peak_memory_allocated_MB': 66926.17, 'total_peak_memory_reserved_MB': 77922.0, 'step_tokens_per_second': 14826.04, 'avg_tokens_per_second': 12360.92}
{'loss': 1.2732, 'grad_norm': 3.9654183387756348, 'learning_rate': 1.0716371709403819e-06, 'epoch': 0.04, 'num_input_tokens_seen': 569856, 'step': 15, 'step_time_sec': 1.73, 'avg_step_time_sec': 3.0, 'time_to_completion_sec': 15.01, 'estimated_total_time_sec': 60.05, 'step_peak_memory_allocated_MB': 41439.48, 'step_peak_memory_reserved_MB': 78204.0, 'total_peak_memory_allocated_MB': 66926.17, 'total_peak_memory_reserved_MB': 78204.0, 'step_tokens_per_second': 18935.68, 'avg_tokens_per_second': 12631.6}
{'loss': 1.241, 'grad_norm': 3.835697650909424, 'learning_rate': 7.018666706430663e-07, 'epoch': 0.04, 'num_input_tokens_seen': 613888, 'step': 16, 'step_time_sec': 6.57, 'avg_step_time_sec': 3.24, 'time_to_completion_sec': 12.96, 'estimated_total_time_sec': 64.8, 'step_peak_memory_allocated_MB': 35978.69, 'step_peak_memory_reserved_MB': 78204.0, 'total_peak_memory_allocated_MB': 66926.17, 'total_peak_memory_reserved_MB': 78204.0, 'step_tokens_per_second': 6703.26, 'avg_tokens_per_second': 11830.36}
{'loss': 1.2967, 'grad_norm': 4.023069381713867, 'learning_rate': 4.019237886466839e-07, 'epoch': 0.05, 'num_input_tokens_seen': 646656, 'step': 17, 'step_time_sec': 2.32, 'avg_step_time_sec': 3.18, 'time_to_completion_sec': 9.55, 'estimated_total_time_sec': 63.66, 'step_peak_memory_allocated_MB': 30517.86, 'step_peak_memory_reserved_MB': 42274.0, 'total_peak_memory_allocated_MB': 66926.17, 'total_peak_memory_reserved_MB': 78204.0, 'step_tokens_per_second': 14097.3, 'avg_tokens_per_second': 11933.83}
{'loss': 1.2166, 'grad_norm': 3.6525537967681885, 'learning_rate': 1.8092213764227505e-07, 'epoch': 0.05, 'num_input_tokens_seen': 684544, 'step': 18, 'step_time_sec': 3.5, 'avg_step_time_sec': 3.2, 'time_to_completion_sec': 6.4, 'estimated_total_time_sec': 64.03, 'step_peak_memory_allocated_MB': 66926.17, 'step_peak_memory_reserved_MB': 75970.0, 'total_peak_memory_allocated_MB': 66926.17, 'total_peak_memory_reserved_MB': 78204.0, 'step_tokens_per_second': 10838.54, 'avg_tokens_per_second': 11863.47}
