********** Post-Init Class Patching ***********
********** Post-Init Class Patching ***********
********** Post-Init Class Patching ***********
********** Post-Init Class Patching ***********
{'loss': 1.7654, 'grad_norm': 18.119943618774414, 'learning_rate': 3e-06, 'epoch': 0.0, 'num_input_tokens_seen': 36864}
{'loss': 1.6845, 'grad_norm': 18.912811279296875, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 69120, 'step': 2, 'step_time_sec': 2.57, 'avg_step_time_sec': 2.57, 'time_to_completion_sec': 46.3, 'estimated_total_time_sec': 51.45, 'step_peak_memory_allocated_MB': 24579.65, 'step_peak_memory_reserved_MB': 51824.0, 'total_peak_memory_allocated_MB': 24579.65, 'total_peak_memory_reserved_MB': 51824.0, 'step_tokens_per_second': 12539.27, 'avg_tokens_per_second': 12539.27}
{'loss': 1.6817, 'grad_norm': 14.843514442443848, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.01, 'num_input_tokens_seen': 112128, 'step': 3, 'step_time_sec': 4.0, 'avg_step_time_sec': 3.28, 'time_to_completion_sec': 55.83, 'estimated_total_time_sec': 65.69, 'step_peak_memory_allocated_MB': 44385.24, 'step_peak_memory_reserved_MB': 68652.0, 'total_peak_memory_allocated_MB': 44385.24, 'total_peak_memory_reserved_MB': 68652.0, 'step_tokens_per_second': 10762.25, 'avg_tokens_per_second': 11458.17}
{'loss': 1.4691, 'grad_norm': 8.963526725769043, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.01, 'num_input_tokens_seen': 145920, 'step': 4, 'step_time_sec': 4.35, 'avg_step_time_sec': 3.64, 'time_to_completion_sec': 58.21, 'estimated_total_time_sec': 72.76, 'step_peak_memory_allocated_MB': 45705.87, 'step_peak_memory_reserved_MB': 78740.0, 'total_peak_memory_allocated_MB': 45705.87, 'total_peak_memory_reserved_MB': 78740.0, 'step_tokens_per_second': 7776.52, 'avg_tokens_per_second': 9992.33}
{'loss': 1.3516, 'grad_norm': 6.749607563018799, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.01, 'num_input_tokens_seen': 175104, 'step': 5, 'step_time_sec': 1.26, 'avg_step_time_sec': 3.04, 'time_to_completion_sec': 45.66, 'estimated_total_time_sec': 60.88, 'step_peak_memory_allocated_MB': 25899.8, 'step_peak_memory_reserved_MB': 48796.0, 'total_peak_memory_allocated_MB': 45705.87, 'total_peak_memory_reserved_MB': 78740.0, 'step_tokens_per_second': 23115.23, 'avg_tokens_per_second': 11353.0}
{'loss': 1.3018, 'grad_norm': 7.0498247146606445, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.02, 'num_input_tokens_seen': 208384, 'step': 6, 'step_time_sec': 2.4, 'avg_step_time_sec': 2.92, 'time_to_completion_sec': 40.81, 'estimated_total_time_sec': 58.3, 'step_peak_memory_allocated_MB': 28540.43, 'step_peak_memory_reserved_MB': 63766.0, 'total_peak_memory_allocated_MB': 45705.87, 'total_peak_memory_reserved_MB': 78740.0, 'step_tokens_per_second': 13872.53, 'avg_tokens_per_second': 11767.69}
{'loss': 1.2346, 'grad_norm': 4.999813556671143, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.02, 'num_input_tokens_seen': 245760, 'step': 7, 'step_time_sec': 2.71, 'avg_step_time_sec': 2.88, 'time_to_completion_sec': 37.46, 'estimated_total_time_sec': 57.62, 'step_peak_memory_allocated_MB': 21939.61, 'step_peak_memory_reserved_MB': 63766.0, 'total_peak_memory_allocated_MB': 45705.87, 'total_peak_memory_reserved_MB': 78740.0, 'step_tokens_per_second': 13783.65, 'avg_tokens_per_second': 12083.91}
{'loss': 1.3296, 'grad_norm': 4.720322132110596, 'learning_rate': 4.5e-06, 'epoch': 0.02, 'num_input_tokens_seen': 275456, 'step': 8, 'step_time_sec': 1.4, 'avg_step_time_sec': 2.67, 'time_to_completion_sec': 32.04, 'estimated_total_time_sec': 53.4, 'step_peak_memory_allocated_MB': 28540.43, 'step_peak_memory_reserved_MB': 63804.0, 'total_peak_memory_allocated_MB': 45705.87, 'total_peak_memory_reserved_MB': 78740.0, 'step_tokens_per_second': 21157.06, 'avg_tokens_per_second': 12765.26}
{'loss': 1.2907, 'grad_norm': 5.068090915679932, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.02, 'num_input_tokens_seen': 321536, 'step': 9, 'step_time_sec': 3.5, 'avg_step_time_sec': 2.77, 'time_to_completion_sec': 30.52, 'estimated_total_time_sec': 55.49, 'step_peak_memory_allocated_MB': 43064.65, 'step_peak_memory_reserved_MB': 76804.0, 'total_peak_memory_allocated_MB': 45705.87, 'total_peak_memory_reserved_MB': 78740.0, 'step_tokens_per_second': 13152.63, 'avg_tokens_per_second': 12826.41}
{'loss': 1.2706, 'grad_norm': 4.3641228675842285, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.03, 'num_input_tokens_seen': 367616, 'step': 10, 'step_time_sec': 4.04, 'avg_step_time_sec': 2.91, 'time_to_completion_sec': 29.15, 'estimated_total_time_sec': 58.29, 'step_peak_memory_allocated_MB': 33821.74, 'step_peak_memory_reserved_MB': 64926.0, 'total_peak_memory_allocated_MB': 45705.87, 'total_peak_memory_reserved_MB': 78740.0, 'step_tokens_per_second': 11414.28, 'avg_tokens_per_second': 12609.08}
{'loss': 1.3293, 'grad_norm': 4.276167869567871, 'learning_rate': 3e-06, 'epoch': 0.03, 'num_input_tokens_seen': 402432, 'step': 11, 'step_time_sec': 1.82, 'avg_step_time_sec': 2.81, 'time_to_completion_sec': 25.25, 'estimated_total_time_sec': 56.11, 'step_peak_memory_allocated_MB': 25899.8, 'step_peak_memory_reserved_MB': 64926.0, 'total_peak_memory_allocated_MB': 45705.87, 'total_peak_memory_reserved_MB': 78740.0, 'step_tokens_per_second': 19079.79, 'avg_tokens_per_second': 13029.94}
{'loss': 1.4025, 'grad_norm': 4.500459671020508, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.03, 'num_input_tokens_seen': 440320, 'step': 12, 'step_time_sec': 3.87, 'avg_step_time_sec': 2.9, 'time_to_completion_sec': 23.22, 'estimated_total_time_sec': 58.05, 'step_peak_memory_allocated_MB': 50988.67, 'step_peak_memory_reserved_MB': 71136.0, 'total_peak_memory_allocated_MB': 50988.67, 'total_peak_memory_reserved_MB': 78740.0, 'step_tokens_per_second': 9787.41, 'avg_tokens_per_second': 12636.79}
