********** Post-Init Instance Patching ***********
********** Post-Init Instance Patching ***********
********** Post-Init Instance Patching ***********
********** Post-Init Instance Patching ***********
{'loss': 13.3295, 'grad_norm': nan, 'learning_rate': 3e-06, 'epoch': 0.0, 'num_input_tokens_seen': 31232}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 65024, 'step': 2, 'step_time_sec': 1.15, 'avg_step_time_sec': 1.15, 'time_to_completion_sec': 20.71, 'estimated_total_time_sec': 23.01, 'step_peak_memory_allocated_MB': 35007.37, 'step_peak_memory_reserved_MB': 68924.0, 'total_peak_memory_allocated_MB': 35007.37, 'total_peak_memory_reserved_MB': 68924.0, 'step_tokens_per_second': 29367.56, 'avg_tokens_per_second': 29367.56}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.01, 'num_input_tokens_seen': 97280, 'step': 3, 'step_time_sec': 2.01, 'avg_step_time_sec': 1.58, 'time_to_completion_sec': 26.84, 'estimated_total_time_sec': 31.58, 'step_peak_memory_allocated_MB': 29752.44, 'step_peak_memory_reserved_MB': 68924.0, 'total_peak_memory_allocated_MB': 35007.37, 'total_peak_memory_reserved_MB': 68924.0, 'step_tokens_per_second': 16071.12, 'avg_tokens_per_second': 20916.25}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.01, 'num_input_tokens_seen': 126464, 'step': 4, 'step_time_sec': 0.99, 'avg_step_time_sec': 1.38, 'time_to_completion_sec': 22.13, 'estimated_total_time_sec': 27.66, 'step_peak_memory_allocated_MB': 31065.97, 'step_peak_memory_reserved_MB': 68962.0, 'total_peak_memory_allocated_MB': 35007.37, 'total_peak_memory_reserved_MB': 68962.0, 'step_tokens_per_second': 29447.18, 'avg_tokens_per_second': 22954.11}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.01, 'num_input_tokens_seen': 155648, 'step': 5, 'step_time_sec': 0.99, 'avg_step_time_sec': 1.28, 'time_to_completion_sec': 19.27, 'estimated_total_time_sec': 25.7, 'step_peak_memory_allocated_MB': 29752.44, 'step_peak_memory_reserved_MB': 68962.0, 'total_peak_memory_allocated_MB': 35007.37, 'total_peak_memory_reserved_MB': 68962.0, 'step_tokens_per_second': 29452.56, 'avg_tokens_per_second': 24206.95}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.02, 'num_input_tokens_seen': 196608, 'step': 6, 'step_time_sec': 4.19, 'avg_step_time_sec': 1.87, 'time_to_completion_sec': 26.12, 'estimated_total_time_sec': 37.31, 'step_peak_memory_allocated_MB': 42889.14, 'step_peak_memory_reserved_MB': 76870.0, 'total_peak_memory_allocated_MB': 42889.14, 'total_peak_memory_reserved_MB': 76870.0, 'step_tokens_per_second': 9779.24, 'avg_tokens_per_second': 17728.72}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.02, 'num_input_tokens_seen': 223744, 'step': 7, 'step_time_sec': 0.87, 'avg_step_time_sec': 1.7, 'time_to_completion_sec': 22.1, 'estimated_total_time_sec': 34.0, 'step_peak_memory_allocated_MB': 27125.48, 'step_peak_memory_reserved_MB': 77152.0, 'total_peak_memory_allocated_MB': 42889.14, 'total_peak_memory_reserved_MB': 77152.0, 'step_tokens_per_second': 31152.84, 'avg_tokens_per_second': 18875.2}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 4.5e-06, 'epoch': 0.02, 'num_input_tokens_seen': 256512, 'step': 8, 'step_time_sec': 1.11, 'avg_step_time_sec': 1.62, 'time_to_completion_sec': 19.38, 'estimated_total_time_sec': 32.3, 'step_peak_memory_allocated_MB': 33693.48, 'step_peak_memory_reserved_MB': 77152.0, 'total_peak_memory_allocated_MB': 42889.14, 'total_peak_memory_reserved_MB': 77152.0, 'step_tokens_per_second': 29620.19, 'avg_tokens_per_second': 19926.63}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.02, 'num_input_tokens_seen': 290816, 'step': 9, 'step_time_sec': 2.45, 'avg_step_time_sec': 1.72, 'time_to_completion_sec': 18.91, 'estimated_total_time_sec': 34.38, 'step_peak_memory_allocated_MB': 24498.64, 'step_peak_memory_reserved_MB': 77152.0, 'total_peak_memory_allocated_MB': 42889.14, 'total_peak_memory_reserved_MB': 77152.0, 'step_tokens_per_second': 14026.36, 'avg_tokens_per_second': 18877.25}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.03, 'num_input_tokens_seen': 329216, 'step': 10, 'step_time_sec': 4.81, 'avg_step_time_sec': 2.06, 'time_to_completion_sec': 20.63, 'estimated_total_time_sec': 41.25, 'step_peak_memory_allocated_MB': 25812.37, 'step_peak_memory_reserved_MB': 77152.0, 'total_peak_memory_allocated_MB': 42889.14, 'total_peak_memory_reserved_MB': 77152.0, 'step_tokens_per_second': 7979.4, 'avg_tokens_per_second': 16052.1}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 3e-06, 'epoch': 0.03, 'num_input_tokens_seen': 366592, 'step': 11, 'step_time_sec': 3.84, 'avg_step_time_sec': 2.24, 'time_to_completion_sec': 20.16, 'estimated_total_time_sec': 44.8, 'step_peak_memory_allocated_MB': 46830.76, 'step_peak_memory_reserved_MB': 78046.0, 'total_peak_memory_allocated_MB': 46830.76, 'total_peak_memory_reserved_MB': 78046.0, 'step_tokens_per_second': 9737.81, 'avg_tokens_per_second': 14970.24}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.03, 'num_input_tokens_seen': 403968, 'step': 12, 'step_time_sec': 2.47, 'avg_step_time_sec': 2.26, 'time_to_completion_sec': 18.09, 'estimated_total_time_sec': 45.22, 'step_peak_memory_allocated_MB': 27125.48, 'step_peak_memory_reserved_MB': 49600.0, 'total_peak_memory_allocated_MB': 46830.76, 'total_peak_memory_reserved_MB': 78046.0, 'step_tokens_per_second': 15148.58, 'avg_tokens_per_second': 14987.93}
